datetime,date,time,price,volume
20220225 153633,20220225,153633,13.0,1
20220225 153633,20220225,153633,13.0,1
20220225 153633,20220225,153633,12.5,1
20220225 153633,20220225,153633,12.5,1
20220225 153652,20220225,153652,13.0,1
20220225 153652,20220225,153652,13.0,1
20220225 153718,20220225,153718,13.0,2
20220225 153718,20220225,153718,13.0,2
20220225 153932,20220225,153932,12.5,2
20220225 153932,20220225,153932,12.5,2
20220225 153959,20220225,153959,12.5,30
20220225 153959,20220225,153959,12.5,12
20220225 153959,20220225,153959,12.5,16
20220225 153959,20220225,153959,12.5,1
20220225 153959,20220225,153959,12.5,1
20220225 154137,20220225,154137,12.5,5
20220225 154137,20220225,154137,12.5,5
20220225 154212,20220225,154212,12.5,1
20220225 154212,20220225,154212,12.5,1
20220225 154220,20220225,154220,12.5,9
20220225 154220,20220225,154220,12.5,9
20220225 154255,20220225,154255,12.5,1
20220225 154255,20220225,154255,12.5,1
20220225 154408,20220225,154408,13.0,1
20220225 154408,20220225,154408,13.0,1
20220225 154512,20220225,154512,12.5,1
20220225 154512,20220225,154512,12.5,1
20220225 154537,20220225,154537,13.0,1
20220225 154537,20220225,154537,13.0,1
20220225 154616,20220225,154616,12.5,1
20220225 154616,20220225,154616,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154656,20220225,154656,12.5,1
20220225 154659,20220225,154659,12.5,1
20220225 154659,20220225,154659,12.5,1
20220225 154916,20220225,154916,13.0,1
20220225 154916,20220225,154916,13.0,1
20220225 155048,20220225,155048,12.5,13
20220225 155048,20220225,155048,12.5,1
20220225 155048,20220225,155048,12.5,1
20220225 155048,20220225,155048,12.5,1
20220225 155048,20220225,155048,12.5,10
20220225 155052,20220225,155052,12.5,3
20220225 155052,20220225,155052,12.5,3
20220225 155052,20220225,155052,12.5,1
20220225 155052,20220225,155052,12.5,1
20220225 155134,20220225,155134,12.5,2
20220225 155134,20220225,155134,12.5,1
20220225 155134,20220225,155134,12.5,1
20220225 155237,20220225,155237,12.0,3
20220225 155237,20220225,155237,12.0,1
20220225 155237,20220225,155237,12.0,1
20220225 155237,20220225,155237,12.0,1
20220225 155338,20220225,155338,12.0,1
20220225 155338,20220225,155338,12.0,1
20220225 155512,20220225,155512,11.5,1
20220225 155512,20220225,155512,11.5,1
20220225 155531,20220225,155531,11.5,2
20220225 155531,20220225,155531,11.5,1
20220225 155531,20220225,155531,11.5,1
20220225 155531,20220225,155531,11.5,1
20220225 155531,20220225,155531,11.5,1
20220225 155558,20220225,155558,11.0,1
20220225 155558,20220225,155558,11.0,1
20220225 155610,20220225,155610,11.0,1
20220225 155610,20220225,155610,11.0,1
20220225 155610,20220225,155610,11.5,3
20220225 155610,20220225,155610,11.5,2
20220225 155610,20220225,155610,11.5,1
20220225 155623,20220225,155623,11.5,1
20220225 155623,20220225,155623,11.5,1
20220225 155628,20220225,155628,11.0,4
20220225 155628,20220225,155628,11.0,4
20220225 155752,20220225,155752,12.0,1
20220225 155752,20220225,155752,12.0,1
20220225 155804,20220225,155804,12.0,1
20220225 155804,20220225,155804,12.0,1
20220225 155938,20220225,155938,12.5,10
20220225 155938,20220225,155938,12.5,10
20220225 155938,20220225,155938,12.5,6
20220225 155938,20220225,155938,12.5,6
20220225 155945,20220225,155945,12.5,1
20220225 155945,20220225,155945,12.5,1
20220225 160000,20220225,160000,12.5,10
20220225 160000,20220225,160000,12.5,10
20220225 160005,20220225,160005,12.5,10
20220225 160005,20220225,160005,12.5,10
20220225 160014,20220225,160014,12.0,2
